Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;34;92;10;100;91;32;100;1450;22500;26.00;12.4;1820;;29;ns;1480;2120;Lille 1 - Sciences technologies_18;disc14_18
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;26;73;16;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 2 - Droit et santé_18;disc02_18
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;16;83;11;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 2 - Droit et santé_30;disc03_30
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;10;69;7;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 2 - Droit et santé_30;disc05_30
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;16;86;10;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 2 - Droit et santé_18;disc11_18
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;13;70;9;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 2 - Droit et santé_18;disc16_18
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;11;70;9;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 2 - Droit et santé_30;disc17_30
2013;LICENCE PRO;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;9;83;20;ns;ns;ns;ns;ns;ns;47.00;12.4;1820;ns;ns;ns;1480;2120;Lille 3 - Charles-de-Gaulle_30;disc08_30
2013;LICENCE PRO;0595964M;Littoral - Côte d'Opale;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;12;73;6;ns;ns;ns;ns;ns;ns;28.00;12.4;1820;ns;ns;ns;1480;2120;Littoral - Côte d'Opale_30;disc02_30
2013;LICENCE PRO;0595964M;Littoral - Côte d'Opale;A09;Lille;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;44;73;23;91;35;75;93;1600;25000;28.00;12.4;1820;2;22;59;1480;2120;Littoral - Côte d'Opale_30;disc03_30
