Annee;Diplôme;Numéro de l'établissement;Etablissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux d'insertion;% emplois stables;% emplois à  temps plein;Salaire brut annuel estimé;% de diplômés boursiers;% emplois cadre;% emplois extérieurs à  la région de l'université;% femmes;cle_ETAB;cle_DISC
2014;LICENCE PRO;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;95;84;100;27600;12.00;36;29;48;Saint-Etienne - Jean Monnet_30;disc01_30
2010;MASTER LMD;0370800U;Tours - François Rabelais;A18;Orléans-Tours;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;93;73;99;29000;29.00;36;29;nd;Tours - François Rabelais_30;disc01_30
2013;LICENCE PRO;0370800U;Tours - François Rabelais;A18;Orléans-Tours;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;89;52;94;23400;24.00;36;29;48;Tours - François Rabelais_18;disc12_18
2013;LICENCE PRO;0370800U;Tours - François Rabelais;A18;Orléans-Tours;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;92;68;98;25100;24.00;36;29;48;Tours - François Rabelais_30;disc12_30
2013;MASTER ENS;0333298F;Bordeaux;A04;Bordeaux;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;94;66;80;26500;;36;29;82;Bordeaux_30;disc18_30
2013;MASTER ENS;0333298F;Bordeaux;A04;Bordeaux;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;97;57;nd;nd;;36;29;82;Bordeaux_18;disc18_18
2011;MASTER LMD;0290346U;Brest - Bretagne occidentale;A14;Rennes;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;89;69;98;25400;39.00;36;29;64;Brest - Bretagne occidentale_30;disc01_30
2014;MASTER LMD;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;93;67;96;26500;36.00;36;29;54;Clermont Auvergne_18;disc04_18
2014;MASTER LMD;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;95;84;96;29200;36.00;36;29;54;Clermont Auvergne_30;disc04_30
2010;MASTER LMD;0593559Y;Lille 1 - Sciences technologies;A09;Lille;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;90;66;96;26900;28.00;36;29;nd;Lille 1 - Sciences technologies_30;disc11_30
2010;MASTER LMD;0593559Y;Lille 1 - Sciences technologies;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;90;66;96;26900;28.00;36;29;nd;Lille 1 - Sciences technologies_30;disc07_30
2013;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;88;62;90;25600;23.00;36;29;75;Lille 2 - Droit et santé_18;disc02_18
2013;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;94;78;96;27500;23.00;36;29;75;Lille 2 - Droit et santé_30;disc02_30
